Dataset,Features,Pearson μ,Pearson σ,Spearman μ,Spearman σ,Dip μ,Dip σ
2d_linear,2,0.95,0.0,0.952,0.0,0.605,0.268
2d_sine,2,0.323,0.0,0.325,0.0,0.437,0.436
2d_ring,2,0.012,0.0,0.014,0.0,0.0,0.0
geyser,2,0.901,0.0,0.778,0.0,0.001,0.001
penguin,4,0.569,0.192,0.546,0.193,0.226,0.259
pollen,5,0.297,0.24,0.287,0.236,0.953,0.066
planets,6,0.501,0.2,0.534,0.186,0.39,0.438
abalone,7,0.891,0.058,0.941,0.031,0.337,0.398
sulfur,7,0.239,0.255,0.235,0.236,0.303,0.435
gaussians,8,0.588,0.246,0.499,0.203,0.125,0.331
wine_red,11,0.2,0.187,0.214,0.193,0.022,0.047
wine_white,11,0.178,0.188,0.194,0.203,0.01,0.024
japanese_vowels,12,0.226,0.152,0.228,0.152,0.995,0.003
sylvine,20,0.051,0.124,0.048,0.121,0.245,0.382
breast,30,0.395,0.264,0.422,0.257,0.925,0.093
