Dataset,Shape,Method,Mean,Std
2d_linear,"(500, 2)",knnxkde,0.281,0.015
2d_linear,"(500, 2)",knnimputer,0.026,0.001
2d_linear,"(500, 2)",missforest,0.334,0.026
2d_linear,"(500, 2)",softimpute,0.744,0.007
2d_sine,"(500, 2)",knnxkde,0.267,0.013
2d_sine,"(500, 2)",knnimputer,0.026,0.001
2d_sine,"(500, 2)",missforest,1.161,0.003
2d_sine,"(500, 2)",softimpute,0.733,0.005
2d_ring,"(500, 2)",knnxkde,0.327,0.043
2d_ring,"(500, 2)",knnimputer,0.027,0.0
2d_ring,"(500, 2)",missforest,1.172,0.034
2d_ring,"(500, 2)",softimpute,0.765,0.015
geyser,"(272, 2)",knnxkde,0.153,0.006
geyser,"(272, 2)",knnimputer,0.014,0.0
geyser,"(272, 2)",missforest,0.238,0.029
geyser,"(272, 2)",softimpute,0.667,0.008
penguin,"(342, 4)",knnxkde,0.417,0.013
penguin,"(342, 4)",knnimputer,0.029,0.0
penguin,"(342, 4)",missforest,2.153,0.245
penguin,"(342, 4)",softimpute,0.924,0.036
pollen,"(3848, 5)",knnxkde,7.843,0.115
pollen,"(3848, 5)",knnimputer,3.056,0.043
pollen,"(3848, 5)",missforest,12.417,0.117
pollen,"(3848, 5)",softimpute,4.062,0.005
planets,"(550, 6)",knnxkde,1.062,0.047
planets,"(550, 6)",knnimputer,0.074,0.003
planets,"(550, 6)",missforest,3.323,0.824
planets,"(550, 6)",softimpute,1.417,0.054
abalone,"(4177, 7)",knnxkde,11.962,0.112
abalone,"(4177, 7)",knnimputer,5.118,0.109
abalone,"(4177, 7)",missforest,10.471,1.222
abalone,"(4177, 7)",softimpute,6.066,0.022
sulfur,"(10081, 7)",knnxkde,38.834,0.052
sulfur,"(10081, 7)",knnimputer,36.327,0.579
sulfur,"(10081, 7)",missforest,54.081,1.069
sulfur,"(10081, 7)",softimpute,13.477,0.096
gaussians,"(10000, 8)",knnxkde,42.094,0.195
gaussians,"(10000, 8)",knnimputer,38.594,0.241
gaussians,"(10000, 8)",missforest,54.304,8.646
gaussians,"(10000, 8)",softimpute,15.551,0.093
wine_red,"(1599, 11)",knnxkde,6.744,0.146
wine_red,"(1599, 11)",knnimputer,0.872,0.023
wine_red,"(1599, 11)",missforest,20.097,0.105
wine_red,"(1599, 11)",softimpute,4.328,0.063
wine_white,"(4898, 11)",knnxkde,22.912,0.051
wine_white,"(4898, 11)",knnimputer,10.047,0.096
wine_white,"(4898, 11)",missforest,53.79,0.217
wine_white,"(4898, 11)",softimpute,11.043,0.066
japanese_vowels,"(9960, 12)",knnxkde,60.341,0.092
japanese_vowels,"(9960, 12)",knnimputer,51.194,0.559
japanese_vowels,"(9960, 12)",missforest,136.634,0.514
japanese_vowels,"(9960, 12)",softimpute,24.03,0.073
sylvine,"(5124, 20)",knnxkde,58.984,0.217
sylvine,"(5124, 20)",knnimputer,16.962,0.105
sylvine,"(5124, 20)",missforest,178.992,0.157
sylvine,"(5124, 20)",softimpute,23.38,0.156
breast,"(569, 30)",knnxkde,6.101,0.064
breast,"(569, 30)",knnimputer,0.286,0.004
breast,"(569, 30)",missforest,48.564,0.968
breast,"(569, 30)",softimpute,5.955,0.17
